"x.in.cm","Mean.DO.mg.per.L"
2.00192233756248,6.7200648829377
2.01768550557478,NA
2.03344867358708,NA
2.04921184159938,NA
2.06497500961169,NA
2.08073817762399,NA
2.09650134563629,NA
2.1122645136486,NA
2.1280276816609,NA
2.1437908496732,NA
2.15955401768551,NA
2.17531718569781,NA
2.19108035371011,NA
2.20684352172241,NA
2.22260668973472,NA
2.23836985774702,NA
2.25413302575932,NA
2.26989619377163,NA
2.28565936178393,NA
2.30142252979623,NA
2.31718569780854,NA
2.33294886582084,NA
2.34871203383314,NA
2.36447520184544,NA
2.38023836985775,NA
2.39600153787005,NA
2.41176470588235,NA
2.42752787389466,NA
2.44329104190696,NA
2.45905420991926,NA
2.47481737793156,NA
2.49058054594387,NA
2.50634371395617,NA
2.52210688196847,NA
2.53787004998078,NA
2.55363321799308,NA
2.56939638600538,NA
2.58515955401769,NA
2.60092272202999,NA
2.61668589004229,NA
2.63244905805459,NA
2.6482122260669,NA
2.6639753940792,NA
2.6797385620915,NA
2.69550173010381,NA
2.71126489811611,NA
2.72702806612841,NA
2.74279123414072,NA
2.75855440215302,NA
2.77431757016532,NA
2.79008073817762,NA
2.80584390618993,NA
2.82160707420223,NA
2.83737024221453,NA
2.85313341022684,NA
2.86889657823914,NA
2.88465974625144,NA
2.90042291426374,NA
2.91618608227605,NA
2.93194925028835,NA
2.94771241830065,NA
2.96347558631296,NA
2.97923875432526,NA
2.99500192233756,NA
3.01076509034987,NA
3.02652825836217,NA
3.04229142637447,NA
3.05805459438677,NA
3.07381776239908,NA
3.08958093041138,NA
3.10534409842368,NA
3.12110726643599,NA
3.13687043444829,NA
3.15263360246059,NA
3.1683967704729,NA
3.1841599384852,NA
3.1999231064975,NA
3.2156862745098,NA
3.23144944252211,NA
3.24721261053441,NA
3.26297577854671,NA
3.27873894655902,NA
3.29450211457132,NA
3.31026528258362,NA
3.32602845059593,NA
3.34179161860823,NA
3.35755478662053,NA
3.37331795463283,NA
3.38908112264514,NA
3.40484429065744,NA
3.42060745866974,NA
3.43637062668205,NA
3.45213379469435,NA
3.46789696270665,NA
3.48366013071895,NA
3.49942329873126,NA
3.51518646674356,NA
3.53094963475586,NA
3.54671280276817,NA
3.56247597078047,NA
3.57823913879277,NA
3.59400230680508,NA
3.60976547481738,NA
3.62552864282968,NA
3.64129181084198,NA
3.65705497885429,NA
3.67281814686659,NA
3.68858131487889,NA
3.7043444828912,NA
3.7201076509035,NA
3.7358708189158,NA
3.75163398692811,NA
3.76739715494041,NA
3.78316032295271,NA
3.79892349096501,NA
3.81468665897732,NA
3.83044982698962,NA
3.84621299500192,NA
3.86197616301423,7.52261040140473
3.87773933102653,7.65162614857965
3.89350249903883,7.63114112821175
3.90926566705113,7.73886778676791
3.92502883506344,7.86588793621381
3.94079200307574,7.8550202202681
3.95655517108804,7.80034956040103
3.97231833910035,7.78175949865929
3.98808150711265,7.79486999017495
4.00384467512495,7.77244821821472
4.01960784313726,7.67258489368671
4.03537101114956,7.58155343657288
4.05113417916186,7.50001313281063
4.06689734717416,7.40241310901117
4.08266051518647,7.37477843494033
4.09842368319877,7.39096261351323
4.11418685121107,7.30485812470165
4.12995001922338,7.29466736423726
4.14571318723568,7.25700789186837
4.16147635524798,7.30581912514895
